despertarse, ellos, pret. perfecto;despertarse;budzić się;ellos;pret_perfecto;se han despertado;;False;
dormir, yo, presente;dormir;spać;yo;presente;duermo;śpę;True;
dormir, tu, presente;dormir;spać;tu;presente;duermes;śpisz;True;
dormir, el, presente;dormir;spać;el;presente;duerme;śpi;True;
dormir, ns, presente;dormir;spać;ns;presente;dormimos;śpimy;False;
dormir, vs, presente;dormir;spać;vs;presente;dormís;śpicie;False;
dormir, ellos, presente;dormir;spać;ellos;presente;duermen;śpią;True;
dormir, yo, pret. indefinido;dormir;spać;yo;pret_indefinido;dormí;spałem;False;
dormir, tu, pret. indefinido;dormir;spać;tu;pret_indefinido;dormiste;spałeś;False;
dormir, el, pret. indefinido;dormir;spać;el;pret_indefinido;durmió;spał;True;
dormir, ns, pret. indefinido;dormir;spać;ns;pret_indefinido;dormimos;spaliśmy;False;
dormir, vs, pret. indefinido;dormir;spać;vs;pret_indefinido;dormisteis;spaliście;False;
dormir, ellos, pret. indefinido;dormir;spać;ellos;pret_indefinido;durmieron;spali;True;
dormir, yo, pret. perfecto;dormir;spać;yo;pret_perfecto;he dormido;;False;
dormir, tu, pret. perfecto;dormir;spać;tu;pret_perfecto;has dormido;;False;
dormir, el, pret. perfecto;dormir;spać;el;pret_perfecto;ha dormido;;False;
dormir, ns, pret. perfecto;dormir;spać;ns;pret_perfecto;hemos dormido;;False;
dormir, vs, pret. perfecto;dormir;spać;vs;pret_perfecto;habéis dormido;;False;
dormir, ellos, pret. perfecto;dormir;spać;ellos;pret_perfecto;han dormido;;False;
empezar, yo, presente;empezar;zaczynać;yo;presente;empiezo;zaczynam;True;
empezar, tu, presente;empezar;zaczynać;tu;presente;empiezas;zaczynasz;True;
empezar, el, presente;empezar;zaczynać;el;presente;empieza;zaczyna;True;
empezar, ns, presente;empezar;zaczynać;ns;presente;empezamos;zaczynamy;False;
empezar, vs, presente;empezar;zaczynać;vs;presente;empezáis;zaczynacie;False;
empezar, ellos, presente;empezar;zaczynać;ellos;presente;empiezan;zaczynaą;True;
empezar, yo, pret. indefinido;empezar;zaczynać;yo;pret_indefinido;empecé;zaczynałem;True;
empezar, tu, pret. indefinido;empezar;zaczynać;tu;pret_indefinido;empezaste;zaczynałeś;False;
empezar, el, pret. indefinido;empezar;zaczynać;el;pret_indefinido;empezó;zaczynał;False;
empezar, ns, pret. indefinido;empezar;zaczynać;ns;pret_indefinido;empezamos;zaczynaliśmy;False;
empezar, vs, pret. indefinido;empezar;zaczynać;vs;pret_indefinido;empezasteis;zaczynaliście;False;
empezar, ellos, pret. indefinido;empezar;zaczynać;ellos;pret_indefinido;empezaron;zaczynali;False;
empezar, yo, pret. perfecto;empezar;zaczynać;yo;pret_perfecto;he empezado;;False;
empezar, tu, pret. perfecto;empezar;zaczynać;tu;pret_perfecto;has empezado;;False;
empezar, el, pret. perfecto;empezar;zaczynać;el;pret_perfecto;ha empezado;;False;
empezar, ns, pret. perfecto;empezar;zaczynać;ns;pret_perfecto;hemos empezado;;False;
