#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::Basic verbs::all
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint
"seguir, vs, pretérito imperfecto",seguir,kontynuować,to follow,vs,pret_imperfecto,seguíais,,False,
"seguir, ellos, pretérito imperfecto",seguir,kontynuować,to follow,ellos,pret_imperfecto,seguían,,False,
"seguir, tú, imperativo",seguir,kontynuować,to follow,tu,imperativo,s<em>i</em>gue,,True,
"seguir, usted, imperativo",seguir,kontynuować,to follow,ud,imperativo,s<em>ig</em>a,,True,
"seguir, ns, imperativo",seguir,kontynuować,to follow,ns,imperativo,s<em>ig</em>amos,,True,
"seguir, vs, imperativo",seguir,kontynuować,to follow,vs,imperativo,seguid,,False,
"seguir, ustedes, imperativo",seguir,kontynuować,to follow,uds,imperativo,s<em>ig</em>an,,True,
"seguir, yo, futuro",seguir,kontynuować,to follow,yo,futuro_simple,seguiré,,False,
"seguir, tú, futuro",seguir,kontynuować,to follow,tu,futuro_simple,seguirás,,False,
"seguir, él, futuro",seguir,kontynuować,to follow,el,futuro_simple,seguirá,,False,
"seguir, ns, futuro",seguir,kontynuować,to follow,ns,futuro_simple,seguiremos,,False,
"seguir, vs, futuro",seguir,kontynuować,to follow,vs,futuro_simple,seguiréis,,False,
"seguir, ellos, futuro",seguir,kontynuować,to follow,ellos,futuro_simple,seguirán,,False,
"ser, yo, presente",ser,być,to be,yo,presente,so<em>y</em>,jestem,True,ser
"ser, tú, presente",ser,być,to be,tu,presente,<em>er</em>es,jesteś,True,ser
"ser, él, presente",ser,być,to be,el,presente,<em>es</em>,jest,True,ser
"ser, ns, presente",ser,być,to be,ns,presente,s<em>o</em>mos,jestmy,True,ser
"ser, vs, presente",ser,być,to be,vs,presente,s<em>o</em>is,jestcie,True,ser
"ser, ellos, presente",ser,być,to be,ellos,presente,s<em>o</em>n,są,True,ser
"ser, yo, pret. indefinido",ser,być,to be,yo,pret_indefinido,<em>fui</em>,byłem,True,ser
"ser, tú, pret. indefinido",ser,być,to be,tu,pret_indefinido,<em>fu</em>iste,byłeś,True,ser
"ser, él, pret. indefinido",ser,być,to be,el,pret_indefinido,<em>fue</em>,był,True,ser
"ser, ns, pret. indefinido",ser,być,to be,ns,pret_indefinido,<em>fu</em>imos,byliśmy,True,ser
"ser, vs, pret. indefinido",ser,być,to be,vs,pret_indefinido,<em>fu</em>isteis,byliście,True,ser
"ser, ellos, pret. indefinido",ser,być,to be,ellos,pret_indefinido,<em>fu</em>eron,byli,True,ser
"ser, yo, pret. perfecto",ser,być,to be,yo,pret_perfecto,he sido,,False,ser
"ser, tú, pret. perfecto",ser,być,to be,tu,pret_perfecto,has sido,,False,ser
"ser, él, pret. perfecto",ser,być,to be,el,pret_perfecto,ha sido,,False,ser
"ser, ns, pret. perfecto",ser,być,to be,ns,pret_perfecto,hemos sido,,False,ser
"ser, vs, pret. perfecto",ser,być,to be,vs,pret_perfecto,habéis sido,,False,ser
"ser, ellos, pret. perfecto",ser,być,to be,ellos,pret_perfecto,han sido,,False,ser
"ser, yo, presente progresivo",ser,być,to be,yo,presente_progresivo,estoy siendo,,False,ser
"ser, tú, presente progresivo",ser,być,to be,tu,presente_progresivo,estás siendo,,False,ser
"ser, él, presente progresivo",ser,być,to be,el,presente_progresivo,está siendo,,False,ser
"ser, ns, presente progresivo",ser,być,to be,ns,presente_progresivo,estamos siendo,,False,ser
"ser, vs, presente progresivo",ser,być,to be,vs,presente_progresivo,estáis siendo,,False,ser
"ser, ellos, presente progresivo",ser,być,to be,ellos,presente_progresivo,están siendo,,False,ser
"ser, yo, pretérito imperfecto",ser,być,to be,yo,pret_imperfecto,<em>er</em>a,,True,ser
"ser, tú, pretérito imperfecto",ser,być,to be,tu,pret_imperfecto,<em>er</em>as,,True,ser
"ser, él, pretérito imperfecto",ser,być,to be,el,pret_imperfecto,<em>er</em>a,,True,ser
"ser, ns, pretérito imperfecto",ser,być,to be,ns,pret_imperfecto,<em>ér</em>amos,,True,ser
"ser, vs, pretérito imperfecto",ser,być,to be,vs,pret_imperfecto,<em>er</em>ais,,True,ser
"ser, ellos, pretérito imperfecto",ser,być,to be,ellos,pret_imperfecto,<em>er</em>an,,True,ser
"ser, tú, imperativo",ser,być,to be,tu,imperativo,s<em>é</em>,,True,ser
"ser, usted, imperativo",ser,być,to be,ud,imperativo,s<em>e</em>a,,True,ser
"ser, ns, imperativo",ser,być,to be,ns,imperativo,s<em>e</em>amos,,True,ser
"ser, vs, imperativo",ser,być,to be,vs,imperativo,sed,,False,ser
"ser, ustedes, imperativo",ser,być,to be,uds,imperativo,s<em>e</em>an,,True,ser
"ser, yo, futuro",ser,być,to be,yo,futuro_simple,seré,,False,ser
"ser, tú, futuro",ser,być,to be,tu,futuro_simple,serás,,False,ser
"ser, él, futuro",ser,być,to be,el,futuro_simple,será,,False,ser
"ser, ns, futuro",ser,być,to be,ns,futuro_simple,seremos,,False,ser
"ser, vs, futuro",ser,być,to be,vs,futuro_simple,seréis,,False,ser
"ser, ellos, futuro",ser,być,to be,ellos,futuro_simple,serán,,False,ser
"tener, yo, presente",tener,mieć,to have,yo,presente,ten<em>g</em>o,mam,True,
"tener, tú, presente",tener,mieć,to have,tu,presente,t<em>i</em>enes,masz,True,
"tener, él, presente",tener,mieć,to have,el,presente,t<em>i</em>ene,ma,True,
"tener, ns, presente",tener,mieć,to have,ns,presente,tenemos,mamy,False,
"tener, vs, presente",tener,mieć,to have,vs,presente,tenéis,macie,False,
"tener, ellos, presente",tener,mieć,to have,ellos,presente,t<em>i</em>enen,mją,True,
"tener, yo, pret. indefinido",tener,mieć,to have,yo,pret_indefinido,t<em>uve</em>,miałem,True,
"tener, tú, pret. indefinido",tener,mieć,to have,tu,pret_indefinido,t<em>uv</em>iste,miałeś,True,
"tener, él, pret. indefinido",tener,mieć,to have,el,pret_indefinido,t<em>uvo</em>,miał,True,
"tener, ns, pret. indefinido",tener,mieć,to have,ns,pret_indefinido,t<em>uv</em>imos,mieliśmy,True,
"tener, vs, pret. indefinido",tener,mieć,to have,vs,pret_indefinido,t<em>uv</em>isteis,mieliście,True,
"tener, ellos, pret. indefinido",tener,mieć,to have,ellos,pret_indefinido,t<em>uv</em>ieron,mieli,True,
"tener, yo, pret. perfecto",tener,mieć,to have,yo,pret_perfecto,he tenido,,False,
"tener, tú, pret. perfecto",tener,mieć,to have,tu,pret_perfecto,has tenido,,False,
"tener, él, pret. perfecto",tener,mieć,to have,el,pret_perfecto,ha tenido,,False,
"tener, ns, pret. perfecto",tener,mieć,to have,ns,pret_perfecto,hemos tenido,,False,
"tener, vs, pret. perfecto",tener,mieć,to have,vs,pret_perfecto,habéis tenido,,False,
"tener, ellos, pret. perfecto",tener,mieć,to have,ellos,pret_perfecto,han tenido,,False,
"tener, yo, presente progresivo",tener,mieć,to have,yo,presente_progresivo,estoy teniendo,,False,
"tener, tú, presente progresivo",tener,mieć,to have,tu,presente_progresivo,estás teniendo,,False,
"tener, él, presente progresivo",tener,mieć,to have,el,presente_progresivo,está teniendo,,False,
"tener, ns, presente progresivo",tener,mieć,to have,ns,presente_progresivo,estamos teniendo,,False,
"tener, vs, presente progresivo",tener,mieć,to have,vs,presente_progresivo,estáis teniendo,,False,
"tener, ellos, presente progresivo",tener,mieć,to have,ellos,presente_progresivo,están teniendo,,False,
"tener, yo, pretérito imperfecto",tener,mieć,to have,yo,pret_imperfecto,tenía,,False,
"tener, tú, pretérito imperfecto",tener,mieć,to have,tu,pret_imperfecto,tenías,,False,
"tener, él, pretérito imperfecto",tener,mieć,to have,el,pret_imperfecto,tenía,,False,
"tener, ns, pretérito imperfecto",tener,mieć,to have,ns,pret_imperfecto,teníamos,,False,
"tener, vs, pretérito imperfecto",tener,mieć,to have,vs,pret_imperfecto,teníais,,False,
"tener, ellos, pretérito imperfecto",tener,mieć,to have,ellos,pret_imperfecto,tenían,,False,
"tener, tú, imperativo",tener,mieć,to have,tu,imperativo,te<em>n</em>,,True,
"tener, usted, imperativo",tener,mieć,to have,ud,imperativo,ten<em>g</em>a,,True,
"tener, ns, imperativo",tener,mieć,to have,ns,imperativo,ten<em>g</em>amos,,True,
"tener, vs, imperativo",tener,mieć,to have,vs,imperativo,tened,,False,
"tener, ustedes, imperativo",tener,mieć,to have,uds,imperativo,ten<em>g</em>an,,True,
"tener, yo, futuro",tener,mieć,to have,yo,futuro_simple,ten<em>dr</em>é,,True,
"tener, tú, futuro",tener,mieć,to have,tu,futuro_simple,ten<em>dr</em>ás,,True,
"tener, él, futuro",tener,mieć,to have,el,futuro_simple,ten<em>dr</em>á,,True,
"tener, ns, futuro",tener,mieć,to have,ns,futuro_simple,ten<em>dr</em>emos,,True,
"tener, vs, futuro",tener,mieć,to have,vs,futuro_simple,ten<em>dr</em>éis,,True,
"tener, ellos, futuro",tener,mieć,to have,ellos,futuro_simple,ten<em>dr</em>án,,True,
"venir, yo, presente",venir,przychodzić,to come,yo,presente,ven<em>g</em>o,,True,
"venir, tú, presente",venir,przychodzić,to come,tu,presente,v<em>i</em>enes,,True,
"venir, él, presente",venir,przychodzić,to come,el,presente,v<em>i</em>ene,,True,
"venir, ns, presente",venir,przychodzić,to come,ns,presente,venimos,,False,
"venir, vs, presente",venir,przychodzić,to come,vs,presente,venís,,False,
"venir, ellos, presente",venir,przychodzić,to come,ellos,presente,v<em>i</em>enen,,True,
"venir, yo, pret. indefinido",venir,przychodzić,to come,yo,pret_indefinido,v<em>ine</em>,,True,
"venir, tú, pret. indefinido",venir,przychodzić,to come,tu,pret_indefinido,v<em>i</em>niste,,True,
"venir, él, pret. indefinido",venir,przychodzić,to come,el,pret_indefinido,v<em>ino</em>,,True,
"venir, ns, pret. indefinido",venir,przychodzić,to come,ns,pret_indefinido,v<em>i</em>nimos,,True,
"venir, vs, pret. indefinido",venir,przychodzić,to come,vs,pret_indefinido,v<em>i</em>nisteis,,True,
"venir, ellos, pret. indefinido",venir,przychodzić,to come,ellos,pret_indefinido,v<em>i</em>nieron,,True,
"venir, yo, pret. perfecto",venir,przychodzić,to come,yo,pret_perfecto,he venido,,False,
"venir, tú, pret. perfecto",venir,przychodzić,to come,tu,pret_perfecto,has venido,,False,
"venir, él, pret. perfecto",venir,przychodzić,to come,el,pret_perfecto,ha venido,,False,
"venir, ns, pret. perfecto",venir,przychodzić,to come,ns,pret_perfecto,hemos venido,,False,
"venir, vs, pret. perfecto",venir,przychodzić,to come,vs,pret_perfecto,habéis venido,,False,
"venir, ellos, pret. perfecto",venir,przychodzić,to come,ellos,pret_perfecto,han venido,,False,
"venir, yo, presente progresivo",venir,przychodzić,to come,yo,presente_progresivo,estoy v<em>i</em>niendo,,True,
"venir, tú, presente progresivo",venir,przychodzić,to come,tu,presente_progresivo,estás v<em>i</em>niendo,,True,
"venir, él, presente progresivo",venir,przychodzić,to come,el,presente_progresivo,está v<em>i</em>niendo,,True,
"venir, ns, presente progresivo",venir,przychodzić,to come,ns,presente_progresivo,estamos v<em>i</em>niendo,,True,
"venir, vs, presente progresivo",venir,przychodzić,to come,vs,presente_progresivo,estáis v<em>i</em>niendo,,True,
"venir, ellos, presente progresivo",venir,przychodzić,to come,ellos,presente_progresivo,están v<em>i</em>niendo,,True,
"venir, yo, pretérito imperfecto",venir,przychodzić,to come,yo,pret_imperfecto,venía,,False,
"venir, tú, pretérito imperfecto",venir,przychodzić,to come,tu,pret_imperfecto,venías,,False,
"venir, él, pretérito imperfecto",venir,przychodzić,to come,el,pret_imperfecto,venía,,False,
"venir, ns, pretérito imperfecto",venir,przychodzić,to come,ns,pret_imperfecto,veníamos,,False,
"venir, vs, pretérito imperfecto",venir,przychodzić,to come,vs,pret_imperfecto,veníais,,False,
"venir, ellos, pretérito imperfecto",venir,przychodzić,to come,ellos,pret_imperfecto,venían,,False,
"venir, tú, imperativo",venir,przychodzić,to come,tu,imperativo,ve<em>n</em>,,True,
"venir, usted, imperativo",venir,przychodzić,to come,ud,imperativo,ven<em>g</em>a,,True,
"venir, ns, imperativo",venir,przychodzić,to come,ns,imperativo,ven<em>g</em>amos,,True,
"venir, vs, imperativo",venir,przychodzić,to come,vs,imperativo,venid,,False,
"venir, ustedes, imperativo",venir,przychodzić,to come,uds,imperativo,ven<em>g</em>an,,True,
"venir, yo, futuro",venir,przychodzić,to come,yo,futuro_simple,ven<em>dr</em>é,,True,
"venir, tú, futuro",venir,przychodzić,to come,tu,futuro_simple,ven<em>dr</em>ás,,True,
"venir, él, futuro",venir,przychodzić,to come,el,futuro_simple,ven<em>dr</em>á,,True,
"venir, ns, futuro",venir,przychodzić,to come,ns,futuro_simple,ven<em>dr</em>emos,,True,
"venir, vs, futuro",venir,przychodzić,to come,vs,futuro_simple,ven<em>dr</em>éis,,True,
"venir, ellos, futuro",venir,przychodzić,to come,ellos,futuro_simple,ven<em>dr</em>án,,True,
"ver, yo, presente",ver,oglądać,to see,yo,presente,v<em>e</em>o,oglądam,True,
"ver, tú, presente",ver,oglądać,to see,tu,presente,ves,oglądasz,False,
"ver, él, presente",ver,oglądać,to see,el,presente,ve,ogląda,False,
"ver, ns, presente",ver,oglądać,to see,ns,presente,vemos,oglądamy,False,
"ver, vs, presente",ver,oglądać,to see,vs,presente,v<em>e</em>is,oglądacie,True,
"ver, ellos, presente",ver,oglądać,to see,ellos,presente,ven,oglądją,False,
"ver, yo, pret. indefinido",ver,oglądać,to see,yo,pret_indefinido,v<em>i</em>,oglądałem,True,
"ver, tú, pret. indefinido",ver,oglądać,to see,tu,pret_indefinido,viste,oglądałeś,False,
"ver, él, pret. indefinido",ver,oglądać,to see,el,pret_indefinido,vi<em>o</em>,oglądał,True,
"ver, ns, pret. indefinido",ver,oglądać,to see,ns,pret_indefinido,vimos,oglądaliśmy,False,
"ver, vs, pret. indefinido",ver,oglądać,to see,vs,pret_indefinido,visteis,oglądaliście,False,
"ver, ellos, pret. indefinido",ver,oglądać,to see,ellos,pret_indefinido,vieron,oglądali,False,
"ver, yo, pret. perfecto",ver,oglądać,to see,yo,pret_perfecto,he vi<em>st</em>o,,True,
"ver, tú, pret. perfecto",ver,oglądać,to see,tu,pret_perfecto,has vi<em>st</em>o,,True,
"ver, él, pret. perfecto",ver,oglądać,to see,el,pret_perfecto,ha vi<em>st</em>o,,True,
"ver, ns, pret. perfecto",ver,oglądać,to see,ns,pret_perfecto,hemos vi<em>st</em>o,,True,
"ver, vs, pret. perfecto",ver,oglądać,to see,vs,pret_perfecto,habéis vi<em>st</em>o,,True,
"ver, ellos, pret. perfecto",ver,oglądać,to see,ellos,pret_perfecto,han vi<em>st</em>o,,True,
"ver, yo, presente progresivo",ver,oglądać,to see,yo,presente_progresivo,estoy viendo,,False,
"ver, tú, presente progresivo",ver,oglądać,to see,tu,presente_progresivo,estás viendo,,False,
"ver, él, presente progresivo",ver,oglądać,to see,el,presente_progresivo,está viendo,,False,
"ver, ns, presente progresivo",ver,oglądać,to see,ns,presente_progresivo,estamos viendo,,False,
"ver, vs, presente progresivo",ver,oglądać,to see,vs,presente_progresivo,estáis viendo,,False,
"ver, ellos, presente progresivo",ver,oglądać,to see,ellos,presente_progresivo,están viendo,,False,
"ver, yo, pretérito imperfecto",ver,oglądać,to see,yo,pret_imperfecto,v<em>e</em>ía,,True,
"ver, tú, pretérito imperfecto",ver,oglądać,to see,tu,pret_imperfecto,v<em>e</em>ías,,True,
"ver, él, pretérito imperfecto",ver,oglądać,to see,el,pret_imperfecto,v<em>e</em>ía,,True,
"ver, ns, pretérito imperfecto",ver,oglądać,to see,ns,pret_imperfecto,v<em>e</em>íamos,,True,
"ver, vs, pretérito imperfecto",ver,oglądać,to see,vs,pret_imperfecto,v<em>e</em>íais,,True,
"ver, ellos, pretérito imperfecto",ver,oglądać,to see,ellos,pret_imperfecto,v<em>e</em>ían,,True,
"ver, tú, imperativo",ver,oglądać,to see,tu,imperativo,ve,,False,
"ver, usted, imperativo",ver,oglądać,to see,ud,imperativo,v<em>e</em>a,,True,
"ver, ns, imperativo",ver,oglądać,to see,ns,imperativo,v<em>e</em>amos,,True,
"ver, vs, imperativo",ver,oglądać,to see,vs,imperativo,ved,,False,
"ver, ustedes, imperativo",ver,oglądać,to see,uds,imperativo,v<em>e</em>an,,True,
"ver, yo, futuro",ver,oglądać,to see,yo,futuro_simple,veré,,False,
"ver, tú, futuro",ver,oglądać,to see,tu,futuro_simple,verás,,False,
"ver, él, futuro",ver,oglądać,to see,el,futuro_simple,verá,,False,
"ver, ns, futuro",ver,oglądać,to see,ns,futuro_simple,veremos,,False,
"ver, vs, futuro",ver,oglądać,to see,vs,futuro_simple,veréis,,False,
"ver, ellos, futuro",ver,oglądać,to see,ellos,futuro_simple,verán,,False,
"volver, yo, presente",volver,wracać,to return,yo,presente,v<em>ue</em>lvo,wracam,True,
"volver, tú, presente",volver,wracać,to return,tu,presente,v<em>ue</em>lves,wracasz,True,
"volver, él, presente",volver,wracać,to return,el,presente,v<em>ue</em>lve,wraca,True,
"volver, ns, presente",volver,wracać,to return,ns,presente,volvemos,wracamy,False,
"volver, vs, presente",volver,wracać,to return,vs,presente,volvéis,wracacie,False,
"volver, ellos, presente",volver,wracać,to return,ellos,presente,v<em>ue</em>lven,wracją,True,
"volver, yo, pret. indefinido",volver,wracać,to return,yo,pret_indefinido,volví,wracałem,False,
"volver, tú, pret. indefinido",volver,wracać,to return,tu,pret_indefinido,volviste,wracałeś,False,
"volver, él, pret. indefinido",volver,wracać,to return,el,pret_indefinido,volvió,wracał,False,
"volver, ns, pret. indefinido",volver,wracać,to return,ns,pret_indefinido,volvimos,wracaliśmy,False,
"volver, vs, pret. indefinido",volver,wracać,to return,vs,pret_indefinido,volvisteis,wracaliście,False,
"volver, ellos, pret. indefinido",volver,wracać,to return,ellos,pret_indefinido,volvieron,wracali,False,
"volver, yo, pret. perfecto",volver,wracać,to return,yo,pret_perfecto,he v<em>uelt</em>o,,True,
"volver, tú, pret. perfecto",volver,wracać,to return,tu,pret_perfecto,has v<em>uelt</em>o,,True,
"volver, él, pret. perfecto",volver,wracać,to return,el,pret_perfecto,ha v<em>uelt</em>o,,True,
"volver, ns, pret. perfecto",volver,wracać,to return,ns,pret_perfecto,hemos v<em>uelt</em>o,,True,
"volver, vs, pret. perfecto",volver,wracać,to return,vs,pret_perfecto,habéis v<em>uelt</em>o,,True,
"volver, ellos, pret. perfecto",volver,wracać,to return,ellos,pret_perfecto,han v<em>uelt</em>o,,True,
"volver, yo, presente progresivo",volver,wracać,to return,yo,presente_progresivo,estoy volviendo,,False,
"volver, tú, presente progresivo",volver,wracać,to return,tu,presente_progresivo,estás volviendo,,False,
"volver, él, presente progresivo",volver,wracać,to return,el,presente_progresivo,está volviendo,,False,
"volver, ns, presente progresivo",volver,wracać,to return,ns,presente_progresivo,estamos volviendo,,False,
"volver, vs, presente progresivo",volver,wracać,to return,vs,presente_progresivo,estáis volviendo,,False,
"volver, ellos, presente progresivo",volver,wracać,to return,ellos,presente_progresivo,están volviendo,,False,
"volver, yo, pretérito imperfecto",volver,wracać,to return,yo,pret_imperfecto,volvía,,False,
"volver, tú, pretérito imperfecto",volver,wracać,to return,tu,pret_imperfecto,volvías,,False,
"volver, él, pretérito imperfecto",volver,wracać,to return,el,pret_imperfecto,volvía,,False,
"volver, ns, pretérito imperfecto",volver,wracać,to return,ns,pret_imperfecto,volvíamos,,False,
"volver, vs, pretérito imperfecto",volver,wracać,to return,vs,pret_imperfecto,volvíais,,False,
"volver, ellos, pretérito imperfecto",volver,wracać,to return,ellos,pret_imperfecto,volvían,,False,
"volver, tú, imperativo",volver,wracać,to return,tu,imperativo,v<em>ue</em>lve,,True,
"volver, usted, imperativo",volver,wracać,to return,ud,imperativo,v<em>ue</em>lva,,True,
"volver, ns, imperativo",volver,wracać,to return,ns,imperativo,volvamos,,False,
"volver, vs, imperativo",volver,wracać,to return,vs,imperativo,volved,,False,
"volver, ustedes, imperativo",volver,wracać,to return,uds,imperativo,v<em>ue</em>lvan,,True,
"volver, yo, futuro",volver,wracać,to return,yo,futuro_simple,volveré,,False,
"volver, tú, futuro",volver,wracać,to return,tu,futuro_simple,volverás,,False,
"volver, él, futuro",volver,wracać,to return,el,futuro_simple,volverá,,False,
"volver, ns, futuro",volver,wracać,to return,ns,futuro_simple,volveremos,,False,
"volver, vs, futuro",volver,wracać,to return,vs,futuro_simple,volveréis,,False,
"volver, ellos, futuro",volver,wracać,to return,ellos,futuro_simple,volverán,,False,
