#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::All verbs::irregulares
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint,tags
"empezar, ustedes, imperativo",empezar,zaczynać,to start,uds,imperativo,emp<em>iec</em>en,,true,,conjugation::basic-verb
"entender, yo, presente",entender,rozumieć,to understand,yo,presente,ent<em>i</em>endo,,true,,conjugation::basic-verb
"entender, tú, presente",entender,rozumieć,to understand,tu,presente,ent<em>i</em>endes,,true,,conjugation::basic-verb
"entender, él, presente",entender,rozumieć,to understand,el,presente,ent<em>i</em>ende,,true,,conjugation::basic-verb
"entender, ellos, presente",entender,rozumieć,to understand,ellos,presente,ent<em>i</em>enden,,true,,conjugation::basic-verb
"entender, tú, imperativo",entender,rozumieć,to understand,tu,imperativo,ent<em>i</em>ende,,true,,conjugation::basic-verb
"entender, usted, imperativo",entender,rozumieć,to understand,ud,imperativo,ent<em>i</em>enda,,true,,conjugation::basic-verb
"entender, ustedes, imperativo",entender,rozumieć,to understand,uds,imperativo,ent<em>i</em>endan,,true,,conjugation::basic-verb
"equivocarse, yo, pret. indefinido",equivocarse,pomylić się,to make a mistake,yo,pret_indefinido,me equivo<em>qu</em>é,,true,,
"equivocarse, usted, imperativo",equivocarse,pomylić się,to make a mistake,ud,imperativo,equivó<em>qu</em>ese,,true,,
"equivocarse, ns, imperativo",equivocarse,pomylić się,to make a mistake,ns,imperativo,equivo<em>qu</em>émonos,,true,,
"equivocarse, ustedes, imperativo",equivocarse,pomylić się,to make a mistake,uds,imperativo,equivó<em>qu</em>ense,,true,,
"escribir, yo, pret. perfecto",escribir,pisać,to write,yo,pret_perfecto,he escri<em>t</em>o,,true,,
"escribir, tú, pret. perfecto",escribir,pisać,to write,tu,pret_perfecto,has escri<em>t</em>o,,true,,
"escribir, él, pret. perfecto",escribir,pisać,to write,el,pret_perfecto,ha escri<em>t</em>o,,true,,
"escribir, ns, pret. perfecto",escribir,pisać,to write,ns,pret_perfecto,hemos escri<em>t</em>o,,true,,
"escribir, vs, pret. perfecto",escribir,pisać,to write,vs,pret_perfecto,habéis escri<em>t</em>o,,true,,
"escribir, ellos, pret. perfecto",escribir,pisać,to write,ellos,pret_perfecto,han escri<em>t</em>o,,true,,
"estar, yo, presente",estar,być,to be,yo,presente,esto<em>y</em>,jestem,true,estar,conjugation::basic-verb
"estar, tú, presente",estar,być,to be,tu,presente,est<em>á</em>s,jesteś,true,estar,conjugation::basic-verb
